ons_id,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner
E14000871,Lab hold,Lab,Con,72999,44434,117,11127,13452,24579,1484,3316,681,0,0,0,0,0,0,0,922,0
S14000051,LD hold,LD,SNP,34211,23160,80,2507,2287,1550,10381,900,0,7874,0,0,0,0,0,0,168,0
E14000872,Con hold,Con,Lab,68877,48721,263,22378,30882,8504,7552,0,1783,0,0,0,0,0,0,0,0,0
E14000873,Lab hold,Lab,Con,78303,49359,213,17832,10303,28135,6884,1146,2392,0,0,0,0,0,0,0,499,0
E14000874,LD hold,LD,Con,76951,58824,238,8943,22397,4258,31340,829,0,0,0,0,0,0,0,0,0,0
S14000052,SNP hold,SNP,Lab,72007,49682,153,11902,11217,11451,3661,0,0,23353,0,0,0,0,0,0,0,0
S14000053,SNP hold,SNP,Lab,64385,43084,133,10679,7571,10958,2918,0,0,21637,0,0,0,0,0,0,0,0
E14000875,Con hold,Con,Lab,65292,44460,172,6186,24076,17890,1548,0,678,0,0,0,0,0,0,0,268,0
E14000876,Con gain from Lab,Con,Lab,70925,49520,149,7210,23688,16478,5054,4300,0,0,0,0,0,0,0,0,0,0
E14000877,Con hold,Con,Lab,67555,47824,209,18519,28875,10356,5364,0,2159,0,0,0,0,0,0,0,1070,0
S14000054,SNP hold,SNP,Con,72600,54076,111,7550,19812,2471,3780,651,0,27362,0,0,0,0,0,0,0,0
E14000878,Con gain from Lab,Con,Lab,72560,47801,98,2580,22334,19754,2334,2127,728,0,0,0,0,0,0,0,524,0
E14000879,Con hold,Con,Lab,69430,44239,202,12897,26831,13934,2301,0,1173,0,0,0,0,0,0,0,0,0
E14000880,Lab hold,Lab,Con,77852,53176,141,4757,20704,25461,2545,2909,1557,0,0,0,0,0,0,0,0,0
W07000075,Lab hold,Lab,Con,60327,39060,153,5887,11494,17381,0,2917,0,0,4990,0,0,0,0,0,2278,0
E14000881,Con hold,Con,Lab,73989,50451,169,19116,29599,10483,7819,0,1702,0,0,0,0,0,0,0,848,0
E14000882,Lab hold,Lab,Con,91836,61276,277,28904,9756,38660,8832,1493,2159,0,0,0,0,0,0,0,376,0
E14000883,Con hold,Con,Lab,71299,45910,145,15780,28172,12392,3419,0,1304,0,0,0,0,0,0,0,623,0
E14000884,Lab hold,Lab,Con,74186,47425,163,5363,17705,23068,5418,994,0,0,0,0,0,0,0,0,240,0
W07000065,Con hold,Con,Lab,59606,42419,153,5062,21381,16319,1943,0,0,0,2776,0,0,0,0,0,0,0
E14000885,Lab hold,Lab,Con,59672,33790,98,12146,8724,20870,1737,1799,660,0,0,0,0,0,0,0,0,0
E14000886,Con hold,Con,Lab,73212,54215,142,3517,26453,22936,3088,0,894,0,0,0,0,0,0,0,844,0
E14000887,Lab gain from Con,Lab,Con,65556,50467,119,4774,18006,22780,8548,0,1133,0,0,0,0,0,0,0,0,0
E14000888,Con hold,Con,Lab,78930,54901,293,31000,39864,8864,4171,0,2002,0,0,0,0,0,0,0,0,0
E14000889,Lab hold,Lab,Con,77152,55918,137,5924,21178,27102,5035,852,1549,0,0,0,0,0,0,0,202,0
E14000890,Con hold,Con,Lab,74137,50392,180,4117,24393,20276,4460,0,1263,0,0,0,0,0,0,0,0,0
E14000891,Con gain from Lab Coop,Con,Lab,65864,40842,95,3527,18811,15284,2018,2915,491,0,0,0,0,0,0,0,1323,0
E14000892,Con hold,Con,Lab,65391,44067,215,16036,27907,11871,2905,0,1384,0,0,0,0,0,0,0,0,0
E14000893,Con hold,Con,Lab,74242,53156,231,18310,28665,10355,10320,0,3169,0,0,0,0,0,0,0,647,0
W07000052,Lab hold,Lab,Con,50262,29642,83,11440,4675,16115,612,3733,438,0,4069,0,0,0,0,0,0,0
E14000894,Con hold,Con,Lab,79247,55284,260,18439,33346,14907,4776,0,1704,0,0,0,0,0,0,0,551,0
E14000896,LD gain from Con,LD,Con,82699,65067,173,7766,26793,3407,34559,0,0,0,0,0,0,0,0,0,308,0
E14000895,Con hold,Con,Lab,82569,57703,203,27210,36693,9483,6989,0,2500,0,0,0,0,0,0,0,2038,0
E14000897,Lab hold,Lab,Con,78909,47447,162,9668,14807,24475,3312,3867,986,0,0,0,0,0,0,0,0,0
E14000898,Con hold,Con,Lab,82056,51926,187,17072,31151,14079,3717,0,1312,0,0,0,0,0,0,0,1667,0
E14000899,Con hold,Con,Lab,75624,46136,180,12286,27063,14777,2822,0,0,0,0,0,0,0,0,0,1474,0
E14000900,Con hold,Con,Lab,72350,47231,240,17893,30494,12601,2708,0,1428,0,0,0,0,0,0,0,0,0
E14000901,Con hold,Con,LD,68228,51390,187,10872,27862,5898,16990,0,0,0,0,0,0,0,0,0,640,0
E14000902,Con hold,Con,Lab,72770,48822,231,9522,27570,18048,2011,0,1193,0,0,0,0,0,0,0,0,0
S14000055,SNP hold,SNP,LD,54230,39869,80,9443,6900,2448,9820,710,0,19263,0,0,0,0,0,0,728,0
E14000904,Lab hold,Lab,Con,61688,35651,103,3121,11615,14736,2090,6125,0,0,0,0,0,0,0,0,1085,0
E14000903,Con gain from Lab,Con,Lab,74804,48698,143,6318,21970,15652,2553,6264,1219,0,0,0,0,0,0,0,1040,0
E14000905,Con hold,Con,Lab,72292,50814,232,13447,29255,15808,4207,0,1544,0,0,0,0,0,0,0,0,0
E14000906,Con hold,Con,Lab,72816,52904,188,16394,29391,12997,7986,0,1646,0,0,0,0,0,0,0,884,0
E14000907,Con hold,Con,Lab,77196,53289,184,18270,29262,10992,9236,0,1876,0,0,0,0,0,0,0,1923,0
E14000908,Con hold,Con,Lab,77047,60505,251,7643,28765,21122,9600,0,0,0,0,0,0,0,0,0,1018,0
S14000056,SNP gain from Lab Coop,SNP,Lab,80918,53794,125,5230,8054,18545,2791,0,0,23775,0,0,0,0,0,0,629,0
E14000909,Con hold,Con,Lab,82705,58310,224,26924,36507,9583,7970,0,2875,0,0,0,0,0,0,0,1375,0
E14000910,Con hold,Con,LD,87017,63086,318,27594,39714,8305,12120,0,2947,0,0,0,0,0,0,0,0,0
E14000911,Lab hold,Lab,Con,82202,50632,172,16327,12428,28755,3099,4290,2060,0,0,0,0,0,0,0,0,0
E14000912,Con hold,Con,LD,74556,53730,168,19736,30280,9675,10544,0,2486,0,0,0,0,0,0,0,745,0
E14000913,Con hold,Con,Lab,74404,49724,197,10270,27593,17323,3038,0,0,0,0,0,0,0,0,0,1770,0
E14000914,Con gain from Lab,Con,Lab,61955,37750,84,6451,20306,13855,875,2044,670,0,0,0,0,0,0,0,0,0
E14000915,Con gain from Lab,Con,Lab,64325,41566,98,4513,19609,15096,1955,3518,994,0,0,0,0,0,0,0,394,0
E14000916,Lab hold,Lab,Con,69760,50880,153,15122,14132,29254,3386,2425,1261,0,0,0,0,0,0,0,422,0
E14000917,Con hold,Con,Lab,78398,56418,191,20137,33995,13858,4842,0,1823,0,0,0,0,0,0,0,1900,0
E14000918,Con hold,Con,LD,71757,50956,244,20818,30932,6946,10114,0,1974,0,0,0,0,0,0,0,990,0
E14000921,Lab hold,Lab,Con,69333,39600,122,12274,10095,22369,1517,3855,1179,0,0,0,0,0,0,0,585,0
E14000919,Lab hold,Lab,Con,89849,50913,233,27273,6695,33968,3237,1969,4570,0,0,0,0,0,0,0,474,0
E14000922,Lab hold,Lab,LD,72763,56885,150,712,14696,19709,18997,1562,1630,0,0,0,0,0,0,0,291,0
E14000923,Lab hold,Lab,Con,66940,42695,132,8520,12955,21475,2916,3538,1811,0,0,0,0,0,0,0,0,0
E14000920,Lab hold,Lab,Con,67832,41998,146,4289,15070,19359,2125,4478,0,0,0,0,0,0,0,0,966,0
E14000924,Con hold,Con,Lab,77888,52709,183,16186,32049,15863,2883,0,1214,0,0,0,0,0,0,0,700,0
E14000925,Con hold,Con,Lab,74029,54004,258,6242,27437,21195,3188,0,1301,0,0,0,0,0,0,0,883,0
E14000926,Con hold,Con,Lab,82238,59065,217,11217,31021,19804,5906,0,1762,0,0,0,0,0,0,0,572,0
E14000927,Con hold,Con,Lab,83917,51394,103,24479,34742,10263,3213,0,1188,0,0,0,0,0,0,0,1988,0
E14000928,Con hold,Con,Lab,78347,58724,239,23694,34919,11225,8701,0,2748,0,0,0,0,0,0,0,1131,0
E14000929,Con hold,Con,Lab,94761,66554,236,32565,44683,12118,5355,0,1742,0,0,0,0,0,0,0,2656,0
E14000930,Lab hold,Lab,Con,86818,51038,155,13640,15781,29421,3357,1432,1047,0,0,0,0,0,0,0,0,0
E14000931,Con hold,Con,Lab,78760,55344,209,21273,32309,11036,9977,0,2022,0,0,0,0,0,0,0,0,0
E14000932,Con hold,Con,LD,85866,64896,225,19213,36230,8354,17017,0,3295,0,0,0,0,0,0,0,0,0
E14000955,Con hold,Con,Lab,72299,47421,137,4498,23952,19454,2503,0,1040,0,0,0,0,0,0,0,472,0
E14000956,Lab hold,Lab,Con,70116,44994,122,6213,16043,22256,3449,1591,1433,0,0,0,0,0,0,0,222,0
N06000014,DUP hold,DUP,UUP,71711,42974,214,2689,0,0,0,0,0,0,0,15149,4887,2288,12460,8190,0,0
E14000933,Con hold,Con,Lab,74441,45297,198,19922,29973,10051,1957,0,0,0,0,0,0,0,0,0,3316,0
E14000934,Con hold,Con,LD,87288,66929,304,2904,31015,7803,28111,0,0,0,0,0,0,0,0,0,0,0
E14000935,Con hold,Con,Lab,79331,53381,429,19335,33502,14167,3924,0,1788,0,0,0,0,0,0,0,0,0
E14000936,Con hold,Con,Lab,73809,51058,184,17153,30024,12871,5432,0,2246,0,0,0,0,0,0,0,485,0
