,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
56,1996,23.0,-0.4,19.466666666666665,1602.5,608.6999999999999,62.0,Ross-on-Wye,21.26213216333869,22.38531899364589,0.7625171732783755,1493.233588785849,728.794671990383,39.217843036235706
57,1997,23.8,-0.2,21.825000000000003,1594.6999999999998,691.5999999999999,38.0,Ross-on-Wye,21.30484510573575,22.41242618792851,0.7842374073633707,1495.2329593191453,729.925200134744,39.05632009669881
58,1998,21.7,2.5,25.05,1159.2,446.7,17.0,Ross-on-Wye,21.34755804813281,22.439533382211124,0.8059576414483658,1497.2323298524416,731.0557282791051,38.894797157161975
59,1999,24.0,0.6,21.327272727272728,1406.5,801.3000000000001,27.0,Ross-on-Wye,21.39027099052987,22.466640576493745,0.8276778755333609,1499.2317003857383,732.1862564234666,38.73327421762514
60,2000,21.9,0.5,21.416666666666668,1533.3999999999999,998.9,32.0,Ross-on-Wye,21.432983932926945,22.493747770776366,0.849398109618356,1501.2310709190347,733.3167845678277,38.5717512780883
61,2001,22.2,0.3,20.691666666666666,1619.3000000000002,767.3999999999999,60.0,Ross-on-Wye,21.475696875324005,22.520854965058987,0.8711183437033512,1503.230441452331,734.4473127121887,38.410228338551406
62,2002,22.2,2.9,22.2,1541.2999999999997,899.8,14.0,Ross-on-Wye,21.518409817721064,22.5479621593416,0.8928385777883463,1505.2298119856273,735.5778408565502,38.24870539901457
63,2003,24.3,0.7,21.84166666666667,1791.7,522.5,55.0,Ross-on-Wye,21.561122760118124,22.575069353624222,0.9145588118733414,1507.2291825189236,736.7083690009113,38.08718245947773
64,2004,22.5,2.9,22.24166666666667,1624.2,692.2,30.0,Ross-on-Wye,21.603835702515184,22.602176547906843,0.9362790459583366,1509.22855305222,737.8388971452728,37.92565951994089
65,2005,22.2,1.1,22.058333333333334,1688.1999999999998,677.2,43.0,Ross-on-Wye,21.646548644912244,22.629283742189465,0.9579992800433317,1511.2279235855162,738.9694252896338,37.764136580404056
66,2006,26.8,1.2,22.974999999999998,1710.6,748.9000000000001,40.0,Ross-on-Wye,21.689261587309304,22.65639093647208,0.9797195141283268,1513.2272941188126,740.0999534339949,37.60261364086716
67,2007,21.2,2.6,22.15833333333333,1623.6,909.4000000000001,28.0,Ross-on-Wye,21.731974529706363,22.6834981307547,1.0014397482133148,1515.2266646521089,741.2304815783564,37.441090701330324
68,2008,21.6,1.0,21.316666666666666,1520.3000000000002,896.2,37.0,Ross-on-Wye,21.774687472103423,22.71060532503732,1.02315998229831,1517.2260351854052,742.3610097227174,37.27956776179349
69,2009,21.1,0.1,21.208333333333332,1562.3,809.4,48.0,Ross-on-Wye,21.817400414500497,22.737712519319942,1.044880216383305,1519.2254057187015,743.4915378670785,37.11804482225665
70,2010,22.1,-4.3,18.866666666666667,1556.1999999999998,588.1,78.0,Ross-on-Wye,21.860113356897557,22.764819713602556,1.0666004504683002,1521.2247762519978,744.62206601144,36.956521882719755
71,2011,21.0,1.3,22.825000000000003,1534.4,521.8000000000001,25.0,Ross-on-Wye,21.902826299294617,22.791926907885177,1.0883206845532953,1523.2241467852941,745.752594155801,36.79499894318292
72,2012,20.9,1.0,20.558333333333334,1440.6,1052.7000000000003,42.0,Ross-on-Wye,21.945539241691677,22.819034102167798,1.1100409186382905,1525.2235173185904,746.8831223001625,36.63347600364608
73,2013,25.5,-0.3,20.583333333333332,1523.3000000000002,770.8,55.0,Ross-on-Wye,21.988252184088736,22.84614129645042,1.1317611527232856,1527.2228878518872,748.0136504445236,36.47195306410924
74,2014,23.9,2.0,22.925,1594.7,988.3000000000001,23.0,Ross-on-Wye,22.030965126485796,22.873248490733033,1.1534813868082807,1529.2222583851835,749.1441785888846,36.310430124572406
75,2015,21.2,1.2,22.075,1589.9000000000003,652.2,27.0,Ross-on-Wye,22.073678068882856,22.900355685015654,1.1752016208932758,1531.2216289184798,750.2747067332461,36.14890718503551
76,2016,22.3,1.9,21.791666666666668,1535.8999999999999,732.7999999999998,42.0,Ross-on-Wye,22.116391011279916,22.927462879298275,1.196921854978271,1533.2209994517762,751.4052348776072,35.987384245498674
77,2017,22.4,0.9,24.1,1285.4,472.2,20.0,Ross-on-Wye,22.159103953676976,22.954570073580896,1.218642089063266,1535.2203699850725,752.5357630219683,35.82586130596184
78,2019,23.3,1.7,21.916666666666668,1292.8999999999999,939.4,34.0,Ross-on-Wye,22.24452983847111,23.00878446214613,1.2620825572332492,1539.219111051665,754.7968193106908,35.502815426888105
79,2020,22.4,3.0,21.43,1056.7,870.0000000000001,25.0,Ross-on-Wye,22.28724278086817,23.035891656428753,1.2838027913182444,1541.2184815849614,755.9273474550523,35.34129248735127
